,n,h_b,h_g,a_b,a_g,e_b,e_g,ebh,egh,iteration
102,0.6,0.5,0.7,1.0,0.5,0.49500117252697545,0.5049988274730245,0.535403051185184,0.5446008546859968,1000.0
103,0.6,0.5,0.7,1.0,0.6,0.49493819088417224,0.5050618091158277,0.535651258192583,0.5449588108595276,14.0
104,0.6,0.5,0.7,1.0,0.7,0.4948750925058693,0.5051249074941305,0.5359031178696709,0.5453204067578061,1000.0
105,0.6,0.5,0.7,1.0,0.8,0.49481190037090866,0.5051880996290914,0.5361586643005342,0.5456856308441501,13.0
106,0.6,0.5,0.7,1.0,0.9,0.4947486385463304,0.5052513614536694,0.5364179298386459,0.5460544680039404,14.0
107,0.6,0.5,0.7,1.0,1.0,0.49468533220080513,0.5053146677991949,0.5366809449540925,0.5464268993841522,15.0
108,0.6,0.5,0.8,0.5,0.5,0.49230256763669256,0.5076974323633076,0.5308343399526743,0.5450608091258197,11.0
109,0.6,0.5,0.8,0.5,0.6,0.4922024221432699,0.50779757785673,0.5310217150900001,0.5454246774087105,12.0
110,0.6,0.5,0.8,0.5,0.7,0.4921020048189174,0.5078979951810826,0.5312119727030754,0.5457916151339155,12.0
111,0.6,0.5,0.8,0.5,0.8,0.4920013532669062,0.5079986467330938,0.5314051357746479,0.5461615718556672,12.0
112,0.6,0.5,0.8,0.5,0.9,0.4919005068179266,0.5080994931820733,0.5316012255378953,0.5465344924714558,13.0
113,0.6,0.5,0.8,0.5,1.0,0.4917995065300626,0.5082004934699375,0.531800261351816,0.5469103171221099,14.0
114,0.6,0.5,0.8,0.6,0.5,0.49233006051510925,0.5076699394848908,0.5310819740994841,0.5452509157771442,12.0
115,0.6,0.5,0.8,0.6,0.6,0.4922300779006236,0.5077699220993764,0.5312714703525687,0.5456164876629994,11.0
116,0.6,0.5,0.8,0.6,0.7,0.49212983793083037,0.5078701620691696,0.5314638745297657,0.5459851262909957,11.0
